Hotel_ID,city,country,temperature,latitud,longitude,Hotel Name
295,Grand Gaube,MU,75.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
299,La Asuncion,VE,80.33,11.0333,-63.8628,Colinas de Matasiete
305,Hojāi,IN,78.82,26.0,92.8667,Luxury park hotel
308,Kieta,PG,85.14,-6.2167,155.6333,Uruna Bay Retreat
309,Acajutla,SV,78.22,13.5928,-89.8275,CASA DE LA PERRA
310,Tubualá,PA,80.35,9.5167,-79.0333,
312,Praia,CV,75.74,14.9215,-23.5087,LT Aparthotel
317,Kinablangan,PH,83.39,7.6947,126.5503,Morales Eatery and Lodging House
318,Indramayu,ID,85.15,-6.3264,108.32,Grand Trisula Hotel
325,Monrovia,LR,76.77,6.3005,-10.7969,Sunset Inn
328,Champotón,MX,76.23,19.35,-90.7167,HOTEL Posada La Regia
331,Broken Hill,AU,80.51,-31.95,141.4333,Royal Exchange Hotel
334,Esim,GH,75.04,4.8699,-2.2405,Axim Beach Resort And Spa
335,Srandakan,ID,82.89,-7.9386,110.2506,Puri Brata
337,Yulara,AU,81.79,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
338,Várzea Grande,BR,82.27,-15.6467,-56.1325,Hotel Express
347,Atambua,ID,84.58,-9.1061,124.8925,Ros Muskanan
349,Trincomalee,LK,85.23,8.5711,81.2335,Welcombe Hotel
352,Panzhihua,CN,82.06,26.5851,101.7128,Electric Power Hotel
353,Anloga,GH,77.11,5.7947,0.8973,Pin Drop Hotel
360,Algarrobo,CO,76.87,10.1869,-74.5753,
363,Port Blair,IN,84.24,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
372,Lala,PH,89.64,7.9745,123.7458,BALAY NI JOICE ANNE GWAPA
376,Kirakira,SB,81.68,-10.4544,161.9205,SanBiz Lodge
381,Cockburn Town,TC,82.09,21.4612,-71.1419,Osprey Beach Hotel
383,Bengkulu,ID,82.56,-3.8004,102.2655,Grage Hotel Bengkulu
385,Cao Bang,VN,89.26,22.6667,106.25,khách sạn 88
386,Mpulungu,ZM,77.77,-8.7623,31.1141,Chela moche guest house
399,Soe,ID,79.52,-9.8607,124.284,Dena Hotel
405,Funadhoo,MV,81.34,6.15,73.2667,Dhaffalhu Tourist Lodge
406,Ambulu,ID,82.76,-8.345,113.6058,Hotel Ambulu Jember
408,Jaciara,BR,75.02,-15.9653,-54.9683,Taba Hotel
410,São Gabriel da Cachoeira,BR,75.27,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
412,Qandala,SO,86.76,11.472,49.8728,
413,Alice Springs,AU,88.21,-23.7,133.8833,Desert Palms Alice Springs
414,San Policarpo,PH,85.03,12.1791,125.5072,Agapita M. Nicart
416,São Geraldo do Araguaia,BR,77.85,-6.4006,-48.555,Hotel Por do Sol
421,Cairns,AU,88.07,-16.9167,145.7667,Mantra Trilogy Cairns
423,Matara,LK,83.73,5.9485,80.5353,Amaloh Boutique Resort
426,Beloha,MG,76.33,-25.1667,45.05,
427,Bintulu,MY,84.61,3.1667,113.0333,900 Boutique INN
428,Eilat,IL,78.64,29.5581,34.9482,Club Hotel Eilat
429,Umm Bāb,QA,87.22,25.2142,50.8072,
431,Sennar,SD,79.95,13.5691,33.5672,بساتين سالمة
432,Bāfq,IR,82.8,31.6128,55.4107,Alamdar Hotel
440,Alibag,IN,86.07,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
441,Ciudad Ojeda,VE,78.37,10.1964,-71.3082,Hotel Holiday
451,Makakilo City,US,79.12,21.3469,-158.0858,Marriott's Ko Olina Beach Club
453,Coxim,BR,78.93,-18.5067,-54.76,Rancho Da Curica
454,Petatlán,MX,75.78,17.5167,-101.2667,Hotel California Petatlán
460,Wewak,PG,85.03,-3.5534,143.6268,In Wewak Boutique Hotel
466,Ampanihy,MG,76.84,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
468,Cuamba,MZ,75.52,-14.8031,36.5372,Hotel Vision
469,Tutóia,BR,77.95,-2.7619,-42.2744,Pousada Guará's
470,Port Moresby,PG,89.02,-9.4431,147.1797,Lamana Hotel (Port Moresby)
475,Alyangula,AU,85.23,-13.8483,136.4192,Groote Eylandt Lodge
479,Naifaru,MV,81.59,5.4444,73.3657,Naifaru Residence Guest House
489,Hondomachi-hondo,JP,77.56,32.45,130.2,ホテル河丁
500,Santo Antônio do Leverger,BR,82.78,-15.8656,-56.0767,Chácara Do SINETRAN
508,Shingū,JP,75.56,33.7333,135.9833,Shingu UI Hotel
509,Araouane,ML,89.06,18.9048,-3.5265,
510,Kanpur,IN,76.66,26.4667,80.35,Little Chef Hotel
511,Sorong,ID,82.36,-0.8833,131.25,Waigo Splash Hotel
514,Nakhon Si Thammarat,TH,87.03,8.25,100.0,ร้านไอซ์โมสีshop
515,Banda Aceh,ID,80.73,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
516,Sittwe,MM,85.93,20.15,92.9,ဟိုတယ် မန်မိုရီ
522,Kaseda-shirakame,JP,78.64,31.4167,130.3167,Sun Stay Kaseda
529,Maraã,BR,75.31,-1.8333,-65.3667,
532,Manacapuru,BR,78.26,-3.2997,-60.6206,Novo Hotel
539,Ormara,PK,79.95,25.2088,64.6357,Kenara Colony House for Rent
542,Alvorada,BR,83.59,-12.48,-49.1247,Cristal Plaza Hotel
553,Dingle,PH,88.14,10.9995,122.6711,SEGAYA PROPERTY
554,Vanimo,PG,86.29,-2.6741,141.3028,Vahmoneh Lodge Vanimo
555,Bairiki Village,KI,86.0,1.3292,172.9752,Tarawa Boutique Hotel
