City_ID,latitud,longitude,temperature,humidity,cloudiness,wind_speed,country,description,city
78,18.451,-78.1736,78.85,80,99,3.58,JM,overcast clouds,Lucea
79,-33.9258,18.4232,50.92,72,0,6.91,ZA,clear sky,Cape Town
80,3.0707,172.7902,82.2,73,57,17.2,KI,broken clouds,Butaritari
81,71.2906,-156.7887,32.02,86,100,6.91,US,overcast clouds,Barrow
82,19.7297,-155.09,80.33,79,75,3.44,US,broken clouds,Hilo
83,7.4167,81.8167,85.73,58,100,1.66,LK,overcast clouds,Kalmunai
84,62.55,149.6667,17.71,94,100,12.28,RU,snow,Yagodnoye
85,-20.7377,116.8463,80.35,34,0,14.34,AU,clear sky,Karratha
86,78.2186,15.6401,37.24,75,40,18.41,SJ,scattered clouds,Longyearbyen
87,73.5069,80.5464,32.04,76,100,17.45,RU,overcast clouds,Dikson
88,-21.6403,-41.0511,68.63,95,100,5.77,BR,light rain,São João da Barra
89,-13.9652,28.6809,64.47,36,4,6.85,ZM,clear sky,Kapiri Mposhi
90,66.9395,-53.6735,28.69,73,6,8.41,GL,clear sky,Sisimiut
91,37.7167,-25.4333,71.2,90,70,4.97,PT,broken clouds,Vila Franca do Campo
92,-20.3167,118.5667,84.25,45,0,14.97,AU,clear sky,Port Hedland
93,62.456,-114.3525,34.32,64,75,10.36,CA,broken clouds,Yellowknife
94,37.666,-77.5064,54.32,84,100,5.75,US,overcast clouds,Glen Allen
95,14.3,-91.9167,80.76,76,100,3.15,GT,overcast clouds,Champerico
96,68.8193,-51.1922,30.45,79,11,4.52,GL,few clouds,Qasigiannguit
97,-37.6167,-73.65,48.24,93,14,3.13,CL,few clouds,Lebu
98,41.7839,15.4437,51.62,64,5,1.52,IT,clear sky,Apricena
99,-26.6731,27.9261,66.87,61,27,13.56,ZA,scattered clouds,Vereeniging
100,-12.95,-76.3833,60.82,81,40,3.02,PE,scattered clouds,Quilmaná
101,37.1041,-113.5841,78.26,28,0,5.75,US,clear sky,Saint George
102,27.9167,96.1667,78.04,93,98,0.36,IN,light rain,Tezu
103,20.5169,-13.0499,90.3,23,12,10.78,MR,few clouds,Atar
104,-5.9475,29.1947,70.61,70,87,4.34,CD,overcast clouds,Kalemie
105,64.3833,-173.3,37.51,93,75,11.18,RU,broken clouds,Provideniya
106,13.2167,-59.5167,81.21,83,75,33.38,BB,broken clouds,Bathsheba
107,10.0667,34.5333,59.65,93,77,5.01,ET,light rain,Āsosa
108,14.75,106.0,86.88,53,96,2.86,LA,overcast clouds,Champasak
109,37.4185,66.0436,70.5,17,0,8.46,AF,clear sky,Qarqīn
110,69.3833,178.4167,21.02,85,18,5.82,RU,few clouds,Leningradskiy
111,7.7669,-72.225,71.78,98,99,1.99,VE,overcast clouds,San Cristobal
